Service_Name,Cost_Range,Billing_Type,Category
Domain Registration (.com),"₹800 - ₹1,200",Annual,Essential
Web Hosting (Shared),"₹1,500 - ₹8,000",Annual,Essential
SSL Certificate,"₹1,000 - ₹15,000",Annual,Essential
Website Maintenance,"₹2,500 - ₹75,000",Monthly,Optional
Email Hosting,"₹1,200 - ₹8,000",Annual,Essential
Logo Design,"₹2,500 - ₹15,000",One-time,Optional
SEO Setup,"₹5,000 - ₹15,000",One-time,Optional
Payment Gateway Setup,"₹3,000 - ₹8,000",One-time,Optional
Mobile App Development,"₹50,000 - ₹3,00,000",One-time,Optional
Content Writing,"₹800 - ₹2,500",Per page,Optional
