Main_Category,Service_Type,Cost_Range,Per_Page_Cost,Typical_Pages,Service_Description
Static Websites,Basic Static,"₹5,000 - ₹25,000","₹1,000 - ₹3,000",1-10,Basic Static suitable for 1-10 pages
Static Websites,Standard Static,"₹15,000 - ₹50,000","₹2,000 - ₹5,000",5-20,Standard Static suitable for 5-20 pages
Dynamic Websites,Basic Dynamic,"₹10,000 - ₹75,000","₹2,000 - ₹6,000",5-25,Basic Dynamic suitable for 5-25 pages
Dynamic Websites,Professional Dynamic,"₹50,000 - ₹2,00,000","₹4,000 - ₹10,000",15-50,Professional Dynamic suitable for 15-50 pages
E-commerce Websites,Small E-commerce,"₹30,000 - ₹75,000","₹3,000 - ₹8,000",10-30,Small E-commerce suitable for 10-30 pages
E-commerce Websites,Medium E-commerce,"₹75,000 - ₹3,50,000","₹5,000 - ₹12,000",25-75,Medium E-commerce suitable for 25-75 pages
E-commerce Websites,Large E-commerce,"₹1,35,000 - ₹20,00,000","₹8,000 - ₹15,000",50+,Large E-commerce suitable for 50+ pages
WordPress Websites,Basic WordPress,"₹40,000 - ₹3,00,000","₹3,000 - ₹8,000",5-50,Basic WordPress suitable for 5-50 pages
WordPress Websites,Business WordPress,"₹60,000 - ₹3,50,000","₹5,000 - ₹12,000",10-100,Business WordPress suitable for 10-100 pages
WordPress Websites,WordPress E-commerce,"₹1,00,000 - ₹5,00,000","₹8,000 - ₹18,000",20-200,WordPress E-commerce suitable for 20-200 pages
Custom Websites,Small Custom,"₹80,000 - ₹2,50,000","₹6,000 - ₹15,000",15-75,Small Custom suitable for 15-75 pages
Custom Websites,Enterprise Custom,"₹2,00,000 - ₹8,50,000","₹12,000 - ₹25,000",50-500+,Enterprise Custom suitable for 50-500+ pages
